mesh_id,descriptor_name
D007055,Iceland
D007061,Idaho
D007087,Illinois
D007194,India
D007195,Indian Ocean Islands
D007196,Indiana
D007214,Indonesia
D007484,Iowa
D007492,Iran
D007493,Iraq
D007494,Ireland
D007557,Israel
D007558,Italy
D007560,Cote d'Ivoire
D007563,Jamaica
D007564,Japan
D007597,Jordan
D007615,Kansas
D007623,Kazakhstan
D007629,Kentucky
D007630,Kenya
D007707,Kyrgyzstan
D007723,Korea
D007730,Kuwait
D007812,Laos
D007843,Latin America
D007844,Latvia
D007861,Lebanon
D007927,Lesotho
D007988,Liberia
D008002,Libya
D008015,Liechtenstein
D008097,Lithuania
D008131,London
D008145,Louisiana
D008189,Luxembourg
D008256,Macau
D008270,Madagascar
D008281,Maine
D008295,Malawi
D008296,Malaysia
D008302,Mali
D008319,Malta
D008350,Manitoba
D008395,Martinique
D008396,Maryland
D008404,Massachusetts
D008435,Mauritania
D008436,Mauritius
D008521,Mediterranean Islands
D008522,Mediterranean Sea
D008541,Mekong Valley
D008542,Melanesia
D008800,Mexico
D008824,Michigan
D008849,Micronesia
D008873,Mid-Atlantic Region
D008877,Middle East
D008910,Minnesota
D008922,Mississippi
D008923,Missouri
D008966,Moldova
D008984,Monaco
D008986,Mongolia
D009009,Montana
D009018,Morocco
D009031,Moscow
D009073,Mozambique
D009276,Namibia
D009329,Nebraska
D009390,Nepal
D009426,Netherlands
D009427,Netherlands Antilles
D009505,Nevada
D009509,New Brunswick
D009510,New Caledonia
D009511,New England
D009512,New Guinea
D009513,New Hampshire
D009514,Vanuatu
D009515,New Jersey
D009516,New Mexico
D009517,New South Wales
D009518,New York
D009519,New York City
D009520,New Zealand
D009523,Newfoundland and Labrador
D009527,Nicaragua
D009548,Niger
D009549,Nigeria
D009656,North America
D009657,North Carolina
D009658,North Dakota
D009659,North Sea
D009660,Northern Ireland
D009664,Norway
D009674,Nova Scotia
D009820,Ohio
D009825,Oklahoma
D009850,Oman
D009864,Ontario
D009922,Oregon
D010139,Pacific Islands
D010140,Pacific Ocean
D010154,Pakistan
D010176,Panama
D010177,Panama Canal Zone
D010219,Papua New Guinea
D010239,Paraguay
D010297,Paris
D010414,Pennsylvania
D010568,Peru
D010679,Philippines
D010896,Pitcairn Island
D011044,Poland
D011114,Polynesia
D011174,Portugal
D011325,Prince Edward Island
D011647,Puerto Rico
D011780,Qatar
D011792,Quebec
D011793,Queensland
D012237,Rhode Island
D012383,Romania
D012384,Rome
D012425,Russia (Pre-1917)
D012426,Russia
D012432,Rwanda
D012495,San Francisco
D012496,San Marino
D012525,Saskatchewan
D012529,Saudi Arabia
D012537,Scandinavian and Nordic Countries
D012606,Scotland
D012675,Senegal
D012750,Seychelles
D012800,Siberia
D012802,Sicily
D012807,Sierra Leone
D012819,Sikkim
D012846,Singapore
D012998,Somalia
D013019,South Africa
D013020,South America
D013021,South Australia
D013022,South Carolina
D013023,South Dakota
D013030,Spain
D013188,Sri Lanka
D013397,Sudan
D013532,Suriname
D013538,Svalbard
D013541,Eswatini
D013548,Sweden
D013557,Switzerland
D013593,Syria
D013620,Tajikistan
D013624,Taiwan
D013636,Tanzania
D013648,Tasmania
D013714,Tennessee
D013781,Texas
D013785,Thailand
D014037,Togo
D014041,Tokyo
D014058,Tonga
D014154,Transcaucasia
D014300,Trinidad and Tobago
D014416,Tunisia
D014421,Turkey
D014423,Turkmenistan
D014454,Uganda
D014455,Ukraine
D014479,United Arab Emirates
D014481,United States
D014583,Uruguay
D014586,USSR
D014589,Utah
D014610,Uzbekistan
D014671,Vatican City
D014687,Venezuela
D014707,Vermont
D014739,Victoria
D014744,Vietnam
D014767,United States Virgin Islands
D014768,Virginia
D014852,Wales
D014861,Washington
D014900,West Indies
D014903,West Virginia
D014904,Western Australia
D014905,Independent State of Samoa
D014922,Wisconsin
D014959,Wyoming
D015006,Yemen
D015022,Yugoslavia
D015023,Democratic Republic of the Congo
D015024,Zambia
D015030,Zimbabwe
D015141,Los Angeles
D015142,Baltimore
D015143,Philadelphia
D015144,Southeastern United States
D015146,Midwestern United States
D015205,Northwestern United States
D015206,Southwestern United States
D015730,Djibouti
D015873,Northwest Territories
D015874,Yukon Territory
D015876,Northern Territory
D016701,Guinea
D016703,Equatorial Guinea
D017507,Comoros
D017508,Reunion
D017516,Historical Geographic Locations
D017522,Bosnia and Herzegovina
D017523,Croatia
D017524,Slovenia
D017691,Caribbean Region
D017954,Africa South of the Sahara
D018153,Czech Republic
D018154,Slovakia
D018436,Ancient Lands
D018609,Tibet
D018612,Byzantium
D018843,Republic of North Macedonia
D018947,Samoa
D018948,American Samoa
D019017,Eritrea
D019029,Palau
D019071,Persia
D019083,Mediterranean Region
D019156,Indian Ocean
D019424,Dominica
D019425,Grenada
D019430,Guadeloupe
D019431,Saint Lucia
D019432,Falkland Islands
D019435,Guernsey
D019436,Saint Vincent and the Grenadines
D019437,Saint Kitts and Nevis
D019601,Pacific States
D020957,Nunavut
D020958,Australian Capital Territory
D044349,Oceania
D044362,Australasia
D049648,Timor-Leste
D054548,Montenegro
D055726,Cabo Verde
D055771,Serbia
D055787,Prussia
D055820,New Orleans
D056910,Republic of Korea
D056911,Democratic People's Republic of Korea
D057214,Ottoman Empire
D057235,Austria-Hungary
D059009,Confederate States of America
D059038,Black Sea
D060786,Holy Roman Empire
D060851,Gulf of Mexico
D063368,Balkan Peninsula
D063826,Kosovo
D064867,Mesopotamia
D064873,"Asia, Northern"
D064874,Tatarstan
D064966,British Virgin Islands
D066106,Seoul
